,,CRPS,Skill_Avg
T_ARCHW-1,sRLS,0.025858919827241984,0.020124892171671616
T_ARCHW-1,RMLE,0.026614235105678234,-0.008496359019277354
T_ARCHW-1,sRMLE,0.026675831268858575,-0.010830429716792088
T_ARCHW-1,Bayes,0.026338126244315613,0.001966266724858805
T_ARCHW-1,Ada Bayes,0.026268539310210524,0.004603132650241844
T_BEATO-1,Persistent,0.03826585865231732,3.626676179909538e-16
T_BEATO-1,AR Logit Default,0.036297744292557686,0.05143264594274194
T_BEATO-1,AR Flx Logit,0.03629786815805058,0.05142940897126782
T_BEATO-1,RLS,0.03759765531519222,0.01746212840005476
T_BEATO-1,sRLS,0.03575809347158321,0.06553531709609911
T_BEATO-1,RMLE,0.036299788749904555,0.0513792182288771
T_BEATO-1,sRMLE,0.03629963573697254,0.05138321690909496
T_BEATO-1,Bayes,0.036161971460270656,0.05498079139325068
T_BEATO-1,Ada Bayes,0.035932133418024266,0.060987138835619424
T_BEATO-2,Persistent,0.04058395450081079,0.0
T_BEATO-2,AR Logit Default,0.03901424634143291,0.0386780484722482
T_BEATO-2,AR Flx Logit,0.03882860539944582,0.04325229325126263
T_BEATO-2,RLS,0.04024965407604106,0.008237256050616022
T_BEATO-2,sRLS,0.03902661914665741,0.03837317908786508
T_BEATO-2,RMLE,0.03883039354213251,0.04320823291488867
T_BEATO-2,sRMLE,0.0388301272064352,0.04321479550102856
T_BEATO-2,Bayes,0.038742887427225044,0.045364408082730394
T_BEATO-2,Ada Bayes,0.03810402626530484,0.061106125955675494
T_BEATO-3,Persistent,0.03835783920579856,-3.617979556501335e-16
T_BEATO-3,AR Logit Default,0.03612027105029283,0.05833405118314039
T_BEATO-3,AR Flx Logit,0.03599335536664231,0.06164277988836241
T_BEATO-3,RLS,0.03699968046115606,0.035407592626781205
T_BEATO-3,sRLS,0.036328546292664396,0.05290425517054114
T_BEATO-3,RMLE,0.03599571335570449,0.06158130642919466
T_BEATO-3,sRMLE,0.03599542961978926,0.06158870350684841
T_BEATO-3,Bayes,0.03582142671108697,0.06612500983444734
T_BEATO-3,Ada Bayes,0.035166025287481195,0.08321151515320102
T_BEATO-4,Persistent,0.03870062294417253,1.7929669798640989e-16
T_BEATO-4,AR Logit Default,0.03766383326284947,0.026789999810046507
T_BEATO-4,AR Flx Logit,0.03723990916836142,0.03774393445599745
T_BEATO-4,RLS,0.03885850709933048,-0.004079628262979159
T_BEATO-4,sRLS,0.03727114025864294,0.03693694252910838
T_BEATO-4,RMLE,0.03724281539948497,0.03766883925332468
T_BEATO-4,sRMLE,0.03724251109780545,0.03767670221925059
T_BEATO-4,Bayes,0.0371061081256311,0.04120127008915585
T_BEATO-4,Ada Bayes,0.03630752051745135,0.06183627664529715
T_BEINW-1,Persistent,0.04122737073415816,0.0
T_BEINW-1,AR Logit Default,0.04017148681460704,0.025611235951951788
T_BEINW-1,AR Flx Logit,0.04019504868864366,0.025039725481673422
T_BEINW-1,RLS,0.04173920650658088,-0.012414950633721914
T_BEINW-1,sRLS,0.04039629484313086,0.020158352963768365
T_BEINW-1,RMLE,0.04018979520095718,0.025167152663977958
T_BEINW-1,sRMLE,0.040194120677612445,0.025062235067288254
T_BEINW-1,Bayes,0.040199880729099635,0.02492252080987582
T_BEINW-1,Ada Bayes,0.04006016443058279,0.028311441714334296
T_BHLAW-1,Persistent,0.041427514600272365,-1.6749481524198437e-16
T_BHLAW-1,AR Logit Default,0.04028732920759698,0.027522418462146515
T_BHLAW-1,AR Flx Logit,0.040297016356765865,0.027288584758571568
T_BHLAW-1,RLS,0.041639168179840584,-0.005109009835864844
T_BHLAW-1,sRLS,0.04030401023286842,0.02711976275295433
T_BHLAW-1,RMLE,0.04029878683969475,0.02724584787353355
T_BHLAW-1,sRMLE,0.04029755651698714,0.02727554607579067
T_BHLAW-1,Bayes,0.040158084957115016,0.03064218685107884
T_BHLAW-1,Ada Bayes,0.040009406746201535,0.03423106280340312
T_BLKWW-1,Persistent,0.04124730192255877,1.6822661314756787e-16
T_BLKWW-1,AR Logit Default,0.039891304319397615,0.03287481944169417
T_BLKWW-1,AR Flx Logit,0.039880989904452976,0.03312488222068523
T_BLKWW-1,RLS,0.041471825838948644,-0.005443360072651649
T_BLKWW-1,sRLS,0.0397801429286878,0.03556981730891276
T_BLKWW-1,RMLE,0.03988150915267762,0.033112293561537984
T_BLKWW-1,sRMLE,0.03988128575885876,0.03311770952351483
T_BLKWW-1,Bayes,0.039795663632906174,0.035193533200742096
T_BLKWW-1,Ada Bayes,0.0395713016661535,0.0406329669647714
T_BLLA-1,Persistent,0.031444555011096616,0.0
T_BLLA-1,AR Logit Default,0.030175788434287962,0.04034932522851454
T_BLLA-1,AR Flx Logit,0.030174397516056987,0.040393559221664814
T_BLLA-1,RLS,0.03146676310354591,-0.0007062619407861516
T_BLLA-1,sRLS,0.030164282570935397,0.04071523479055174
T_BLLA-1,RMLE,0.030173044304084035,0.04043659408008385
T_BLLA-1,sRMLE,0.030174359305590245,0.04039477439124596
T_BLLA-1,Bayes,0.030161167309831056,0.04081430635010288
T_BLLA-1,Ada Bayes,0.03017570703422584,0.04035191391396716
