,,,DM_n,DM_mean,DM_std,DM_statistics
2__PSTAT001,RMLE,RLS,10405.0,-0.0012569044673658763,0.00016951872455412835,-7.414190203233044
2__PSTAT001,RMLE,sRLS,10405.0,-0.0001210922744690416,3.268835517240526e-05,-3.7042688365397223
2__PSTAT001,RMLE,RMLE,0.0,1.0,1.0,0.0
2__PSTAT001,RMLE,sRMLE,10405.0,-2.719003506983638e-06,3.174062254428588e-07,-8.565909006813033
2__PSTAT001,RMLE,Bayes,10405.0,0.00012389716528851764,7.393471600106769e-06,16.756838751042615
2__PSTAT001,RMLE,Ada Bayes,10405.0,0.0002851234374154492,1.4691423036245979e-05,19.406543199561597
2__PSTAT001,sRMLE,Persistent,10405.0,-0.0028998179170846784,0.00012164417282332347,-23.83738159509043
2__PSTAT001,sRMLE,AR Logit Default,10405.0,1.9308747301594595e-06,1.2103375733859701e-05,0.15952425046362426
2__PSTAT001,sRMLE,AR Flx Logit,10405.0,-6.108656291702464e-07,2.237188126662399e-07,-2.7303750934407076
2__PSTAT001,sRMLE,RLS,10405.0,-0.001254185463858893,0.00016956329080462183,-7.396206974146884
2__PSTAT001,sRMLE,sRLS,10405.0,-0.00011837327096205794,3.269797243216137e-05,-3.6200282076548045
2__PSTAT001,sRMLE,RMLE,10405.0,2.719003506983638e-06,3.174062254428588e-07,8.565909006813033
2__PSTAT001,sRMLE,sRMLE,0.0,1.0,1.0,0.0
2__PSTAT001,sRMLE,Bayes,10405.0,0.0001266161687955013,7.387945962952632e-06,17.137386344409766
2__PSTAT001,sRMLE,Ada Bayes,10405.0,0.0002878424409224328,1.4757390381529025e-05,19.504031622117953
2__PSTAT001,Bayes,Persistent,10406.0,-0.0030257433492083727,0.00012058218291378361,-25.091583914395557
2__PSTAT001,Bayes,AR Logit Default,10406.0,-0.00012468099628967506,1.4783545923416206e-05,-8.433362737818868
2__PSTAT001,Bayes,AR Flx Logit,10406.0,-0.0001272333740811801,7.458101448884557e-06,-17.05893401211955
2__PSTAT001,Bayes,RLS,10406.0,-0.0013806875057872465,0.0001700551730927856,-8.118666066731643
2__PSTAT001,Bayes,sRLS,10406.0,-0.0002449918512877094,3.2483702020696e-05,-7.541630544014615
2__PSTAT001,Bayes,RMLE,10405.0,-0.00012389716528851764,7.393471600106769e-06,-16.756838751042615
2__PSTAT001,Bayes,sRMLE,10405.0,-0.0001266161687955013,7.387945962952632e-06,-17.137386344409766
2__PSTAT001,Bayes,Bayes,0.0,1.0,1.0,0.0
2__PSTAT001,Bayes,Ada Bayes,10405.0,0.00016122627212693155,1.144556476621467e-05,14.085676652534351
2__PSTAT001,Ada Bayes,Persistent,10405.0,-0.003187660358007111,0.00011888244129408827,-26.812262100042172
2__PSTAT001,Ada Bayes,AR Logit Default,10405.0,-0.00028591156619227337,1.9319376798246185e-05,-14.798501509904382
2__PSTAT001,Ada Bayes,AR Flx Logit,10405.0,-0.0002884533065516031,1.479082855435053e-05,-19.501236450373078
2__PSTAT001,Ada Bayes,RLS,10405.0,-0.0015420279047813257,0.0001694943783577417,-9.097374305920702
2__PSTAT001,Ada Bayes,sRLS,10405.0,-0.0004062157118844908,3.50510555110595e-05,-11.588700690358941
2__PSTAT001,Ada Bayes,RMLE,10405.0,-0.0002851234374154492,1.4691423036245979e-05,-19.406543199561597
2__PSTAT001,Ada Bayes,sRMLE,10405.0,-0.0002878424409224328,1.4757390381529025e-05,-19.504031622117953
2__PSTAT001,Ada Bayes,Bayes,10405.0,-0.00016122627212693155,1.144556476621467e-05,-14.085676652534351
2__PSTAT001,Ada Bayes,Ada Bayes,0.0,1.0,1.0,0.0
2__PSTAT002,Persistent,Persistent,0.0,1.0,1.0,0.0
2__PSTAT002,Persistent,AR Logit Default,10118.0,0.0027169784674823173,0.00013080575624278774,20.770066070503784
2__PSTAT002,Persistent,AR Flx Logit,10118.0,0.002726319791726938,0.00013161662651955906,20.713075044313634
2__PSTAT002,Persistent,RLS,10118.0,0.001928546658985471,0.00018549766822416439,10.39609485301288
2__PSTAT002,Persistent,sRLS,10118.0,0.0027973452778173266,0.00013935670771796324,20.072281299769674
2__PSTAT002,Persistent,RMLE,10117.0,0.0027258718225834882,0.00013163288881712435,20.707112989405733
2__PSTAT002,Persistent,sRMLE,10117.0,0.002725997139051504,0.00013163110452040465,20.70834566088467
2__PSTAT002,Persistent,Bayes,10118.0,0.002917509709413211,0.000130644491186167,22.33056675512897
